request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000.00,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,"Pay IDR 15,656,000.00 today. This leaves at least IDR 24,768,300.00 available over the next 90 days."
request_27,6670.00,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,"Pay ZAR 6,670.00 today. This leaves at least ZAR 20,500.00 available over the next 90 days."
request_28,324.33,affordable_later,wait,2024-06-15:1302.40,2024-06-15,none,"Pay EUR 1,302.40 in full on 2024-06-15. Paying earlier would take the balance below the EUR 1,100.00 minimum."
request_29,21313.19,not_affordable,not_recommended,none,,none,"None of the available options keeps the ZAR 28,300.00 minimum protected."
request_30,775.20,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,"Use 3 installments of USD 268.74, starting 2026-04-06. This leaves at least USD 900.00 available."
request_31,3198337.26,affordable_later,wait,2024-09-15:18164000,2024-09-15,none,"Pay IDR 18,164,000.00 in full on 2024-09-15. Paying earlier would take the balance below the IDR 16,588,900.00 minimum."
request_32,15777.38,affordable_later,wait,2025-04-15:40018,2025-04-15,none,"Pay ZAR 40,018.00 in full on 2025-04-15. Paying earlier would take the balance below the ZAR 35,700.00 minimum."
request_33,23160.80,affordable_later,wait,2026-03-15:118000,2026-03-15,none,"Pay INR 118,000.00 in full on 2026-03-15. Paying earlier would take the balance below the INR 102,100.00 minimum."
request_34,129400.00,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,"Pay INR 129,400.00 today. This leaves at least INR 138,500.00 available over the next 90 days."
request_35,26248.85,affordable_later,wait,2026-01-15:212000,2026-01-15,none,"Pay INR 212,000.00 in full on 2026-01-15. Paying earlier would take the balance below the INR 106,400.00 minimum."
request_36,663.80,affordable_later,wait,2026-09-15:3954,2026-09-15,none,"Pay USD 3,954.00 in full on 2026-09-15. Paying earlier would take the balance below the USD 2,400.00 minimum."
request_37,5238776.33,affordable_later,wait,2024-03-15:14649000,2024-03-15,none,"Pay IDR 14,649,000.00 in full on 2024-03-15. Paying earlier would take the balance below the IDR 17,056,200.00 minimum."
request_38,183.62,affordable_later,wait,2025-10-15:971.30,2025-10-15,none,Pay EUR 971.30 in full on 2025-10-15. Paying earlier would take the balance below the EUR 400.00 minimum.
request_39,0.00,not_affordable,not_recommended,none,,none,"None of the available options keeps the INR 213,400.00 minimum protected."
request_40,423.53,affordable_later,wait,2024-08-15:1290.30,2024-08-15,none,"Pay EUR 1,290.30 in full on 2024-08-15. Paying earlier would take the balance below the EUR 1,500.00 minimum."
request_41,0.00,not_affordable,not_recommended,none,,none,"None of the available options keeps the IDR 25,366,600.00 minimum protected."
request_42,52100.00,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,"Pay INR 52,100.00 today. This leaves at least INR 113,100.00 available over the next 90 days."
